#YY  MM DD hh mm WDIR WSPD GST  WVHT   DPD   APD MWD   PRES  ATMP  WTMP  DEWP  VIS  TIDE
#yr  mo dy hr mn degT m/s  m/s     m   sec   sec degT   hPa  degC  degC  degC   mi    ft
2023 01 04 05 56 999 99.0 99.0  3.43 16.67  9.43 273 9999.0 999.0   9.3 999.0 99.0 99.00
2023 01 04 06 26 999 99.0 99.0  3.69 16.67 10.04 271 9999.0 999.0   9.2 999.0 99.0 99.00
2023 01 04 06 56 999 99.0 99.0  3.60 16.67  9.38 273 9999.0 999.0   9.2 999.0 99.0 99.00
2023 01 04 07 26 999 99.0 99.0  3.39 16.67  8.69 266 9999.0 999.0   9.2 999.0 99.0 99.00
2023 01 04 07 56 999 99.0 99.0  3.47 16.67  8.50 259 9999.0 999.0   9.3 999.0 99.0 99.00
2023 01 04 08 26 999 99.0 99.0  3.51 16.67  9.07 271 9999.0 999.0   9.3 999.0 99.0 99.00
2023 01 04 08 56 999 99.0 99.0  3.70 16.67  9.30 273 9999.0 999.0   9.3 999.0 99.0 99.00
2023 01 04 09 26 999 99.0 99.0  3.39 16.67  8.83 269 9999.0 999.0   9.4 999.0 99.0 99.00
2023 01 04 09 56 999 99.0 99.0  3.61 16.67  9.15 269 9999.0 999.0   9.4 999.0 99.0 99.00
2023 01 04 10 26 999 99.0 99.0  3.23 16.67  9.49 268 9999.0 999.0   9.4 999.0 99.0 99.00
2023 01 04 10 56 999 99.0 99.0  3.22 15.38  9.45 269 9999.0 999.0   9.4 999.0 99.0 99.00
2023 01 04 11 26 999 99.0 99.0  3.04 16.67  9.34 273 9999.0 999.0   9.4 999.0 99.0 99.00
2023 01 04 11 56 999 99.0 99.0  2.90 15.38  9.78 271 9999.0 999.0   9.4 999.0 99.0 99.00
2023 01 04 12 26 999 99.0 99.0  3.05 16.67  9.77 268 9999.0 999.0   9.4 999.0 99.0 99.00
2023 01 04 12 56 999 99.0 99.0  2.71 15.38  9.47 268 9999.0 999.0   9.3 999.0 99.0 99.00
2023 01 04 13 26 999 99.0 99.0  2.88 15.38  9.72 271 9999.0 999.0   9.3 999.0 99.0 99.00
2023 01 04 13 56 999 99.0 99.0  2.99 15.38 10.09 273 9999.0 999.0   9.3 999.0 99.0 99.00
2023 01 04 14 26 999 99.0 99.0  2.66 15.38  9.67 272 9999.0 999.0   9.3 999.0 99.0 99.00
2023 01 04 14 56 999 99.0 99.0  2.78 14.29 10.22 271 9999.0 999.0   9.3 999.0 99.0 99.00
2023 01 04 15 26 999 99.0 99.0  2.74 14.29 10.08 271 9999.0 999.0   9.3 999.0 99.0 99.00
2023 01 04 15 56 999 99.0 99.0  2.81 15.38 10.03 273 9999.0 999.0   9.2 999.0 99.0 99.00
2023 01 04 16 26 999 99.0 99.0  2.58 14.29  9.38 275 9999.0 999.0   9.2 999.0 99.0 99.00
2023 01 04 16 56 999 99.0 99.0  2.58 14.29  9.16 275 9999.0 999.0   9.1 999.0 99.0 99.00
2023 01 04 17 26 999 99.0 99.0  2.56 14.29  9.53 268 9999.0 999.0   9.1 999.0 99.0 99.00
2023 01 04 17 56 999 99.0 99.0  2.96 13.33 10.02 271 9999.0 999.0   9.1 999.0 99.0 99.00
2023 01 04 18 26 999 99.0 99.0  2.29 13.33  8.81 269 9999.0 999.0   9.1 999.0 99.0 99.00
2023 01 04 18 56 999 99.0 99.0  2.57 15.38  9.41 275 9999.0 999.0   9.1 999.0 99.0 99.00
2023 01 04 19 26 999 99.0 99.0  2.57 13.33  8.65 272 9999.0 999.0   9.1 999.0 99.0 99.00
2023 01 04 19 56 999 99.0 99.0  2.66 14.29  8.81 272 9999.0 999.0   9.1 999.0 99.0 99.00
2023 01 04 20 26 999 99.0 99.0  2.50 14.29  8.52 273 9999.0 999.0   9.2 999.0 99.0 99.00
2023 01 04 20 56 999 99.0 99.0  2.39 14.29  8.63 276 9999.0 999.0   9.2 999.0 99.0 99.00
2023 01 04 21 26 999 99.0 99.0  2.14 15.38  7.92 271 9999.0 999.0   9.2 999.0 99.0 99.00
2023 01 04 21 56 999 99.0 99.0  2.16 15.38  8.38 276 9999.0 999.0   9.1 999.0 99.0 99.00
2023 01 04 22 26 999 99.0 99.0  2.25 15.38  8.76 273 9999.0 999.0   9.2 999.0 99.0 99.00
2023 01 04 22 56 999 99.0 99.0  2.07 15.38  8.34 272 9999.0 999.0   9.2 999.0 99.0 99.00
2023 01 04 23 26 999 99.0 99.0  1.92 13.33  6.98 265 9999.0 999.0   9.1 999.0 99.0 99.00
2023 01 04 23 56 999 99.0 99.0  1.99 14.29  7.12 275 9999.0 999.0   9.1 999.0 99.0 99.00
2023 01 05 00 26 999 99.0 99.0  1.89 15.38  6.65 280 9999.0 999.0   9.1 999.0 99.0 99.00
2023 01 05 00 56 999 99.0 99.0  1.92 14.29  5.70 269 9999.0 999.0   9.1 999.0 99.0 99.00
2023 01 05 01 26 999 99.0 99.0  1.85 16.67  5.65 264 9999.0 999.0   9.2 999.0 99.0 99.00
2023 01 05 01 56 999 99.0 99.0  1.86 15.38  5.36 272 9999.0 999.0   9.2 999.0 99.0 99.00
2023 01 05 02 26 999 99.0 99.0  1.83 14.29  5.27 273 9999.0 999.0   9.2 999.0 99.0 99.00
2023 01 05 02 56 999 99.0 99.0  1.65 15.38  5.33 271 9999.0 999.0   9.2 999.0 99.0 99.00
2023 01 05 03 26 999 99.0 99.0  1.57 14.29  4.85 271 9999.0 999.0   9.2 999.0 99.0 99.00
2023 01 05 03 56 999 99.0 99.0  1.59 15.38  5.39 269 9999.0 999.0   9.2 999.0 99.0 99.00
2023 01 05 04 26 999 99.0 99.0  1.56 15.38  5.10 269 9999.0 999.0   9.1 999.0 99.0 99.00
2023 01 05 04 56 999 99.0 99.0  1.54 14.29  5.00 272 9999.0 999.0   9.1 999.0 99.0 99.00
2023 01 05 05 26 999 99.0 99.0  1.46 14.29  5.43 272 9999.0 999.0   9.1 999.0 99.0 99.00
2023 01 05 05 56 999 99.0 99.0  1.65 14.29  5.96 266 9999.0 999.0   9.1 999.0 99.0 99.00
2023 01 05 06 26 999 99.0 99.0  1.56 14.29  5.77 268 9999.0 999.0   9.0 999.0 99.0 99.00
2023 01 05 06 56 999 99.0 99.0  1.47 15.38  5.90 237 9999.0 999.0   9.0 999.0 99.0 99.00
2023 01 05 07 26 999 99.0 99.0  1.84 13.33  6.92 242 9999.0 999.0   9.0 999.0 99.0 99.00
2023 01 05 07 56 999 99.0 99.0  1.66 13.33  6.49 224 9999.0 999.0   9.1 999.0 99.0 99.00
2023 01 05 08 26 999 99.0 99.0  1.75 13.33  7.02 234 9999.0 999.0   9.1 999.0 99.0 99.00
2023 01 05 08 56 999 99.0 99.0  1.80 13.33  7.47 233 9999.0 999.0   9.0 999.0 99.0 99.00
2023 01 05 09 26 999 99.0 99.0  1.89 14.29  8.03 227 9999.0 999.0   9.0 999.0 99.0 99.00
2023 01 05 09 56 999 99.0 99.0  1.86 14.29  8.03 227 9999.0 999.0   9.0 999.0 99.0 99.00
2023 01 05 10 26 999 99.0 99.0  2.07 13.33  8.32 227 9999.0 999.0   9.0 999.0 99.0 99.00
2023 01 05 10 56 999 99.0 99.0  2.10 13.33  8.38 223 9999.0 999.0   9.0 999.0 99.0 99.00
2023 01 05 11 26 999 99.0 99.0  1.94 11.11  7.82 211 9999.0 999.0   9.0 999.0 99.0 99.00
2023 01 05 11 56 999 99.0 99.0  1.98 12.50  7.85 226 9999.0 999.0   9.0 999.0 99.0 99.00
2023 01 05 12 26 999 99.0 99.0  1.84 12.50  7.75 221 9999.0 999.0   9.0 999.0 99.0 99.00
2023 01 05 12 56 999 99.0 99.0  2.06 10.53  8.19 211 9999.0 999.0   8.9 999.0 99.0 99.00
2023 01 05 13 26 999 99.0 99.0  1.93 10.53  7.12 211 9999.0 999.0   9.0 999.0 99.0 99.00
2023 01 05 13 56 999 99.0 99.0  2.07 12.50  7.09 219 9999.0 999.0   8.9 999.0 99.0 99.00
2023 01 05 14 26 999 99.0 99.0  2.04 11.11  6.97 213 9999.0 999.0   8.9 999.0 99.0 99.00
2023 01 05 14 56 999 99.0 99.0  2.16 11.11  7.14 216 9999.0 999.0   9.0 999.0 99.0 99.00
2023 01 05 15 26 999 99.0 99.0  2.10 20.00  6.97 231 9999.0 999.0   9.0 999.0 99.0 99.00
2023 01 05 15 56 999 99.0 99.0  2.18 18.18  7.28 237 9999.0 999.0   8.9 999.0 99.0 99.00
2023 01 05 16 26 999 99.0 99.0  2.30 11.11  7.37 216 9999.0 999.0   8.9 999.0 99.0 99.00
2023 01 05 16 56 999 99.0 99.0  2.33 12.50  7.50 223 9999.0 999.0   8.9 999.0 99.0 99.00
2023 01 05 17 26 999 99.0 99.0  2.51 18.18  7.90 237 9999.0 999.0   8.9 999.0 99.0 99.00
2023 01 05 17 56 999 99.0 99.0  2.74 16.67  8.30 230 9999.0 999.0   8.9 999.0 99.0 99.00
2023 01 05 18 26 999 99.0 99.0  3.06 18.18  9.15 234 9999.0 999.0   8.9 999.0 99.0 99.00
2023 01 05 18 56 999 99.0 99.0  3.59 15.38  9.77 233 9999.0 999.0   8.9 999.0 99.0 99.00
2023 01 05 19 26 999 99.0 99.0  4.57 14.29 10.83 230 9999.0 999.0   8.9 999.0 99.0 99.00
2023 01 05 19 56 999 99.0 99.0  5.07 15.38 11.05 233 9999.0 999.0   8.9 999.0 99.0 99.00
2023 01 05 20 26 999 99.0 99.0  5.95 15.38 11.05 228 9999.0 999.0   8.9 999.0 99.0 99.00
2023 01 05 20 56 999 99.0 99.0  5.99 15.38 10.81 231 9999.0 999.0   8.9 999.0 99.0 99.00
2023 01 05 21 26 999 99.0 99.0  6.24 15.38 10.57 235 9999.0 999.0   9.0 999.0 99.0 99.00
2023 01 05 21 56 999 99.0 99.0  5.84 13.33 10.04 228 9999.0 999.0   9.0 999.0 99.0 99.00
